id_cliente,idade,sexo,estado_civil,escolaridade,estado,renda_mensal,comprometimento_renda,score_bureau_entrada,segmento,canal_aquisicao,data_cadastro,flag_fraude
1,53,M,Viúvo,Superior,PE,3174.93,0.05,791,Standard,Parceiro,2019-04-28,False
2,42,F,Casado,Médio,RJ,2136.06,0.356,855,Standard,Parceiro,2023-04-25,False
3,65,F,Casado,Superior,PE,6301.25,0.26,650,Plus,Indicação,2019-08-03,False
4,45,M,Solteiro,Superior,RJ,4017.21,0.402,500,Standard,App,2024-09-25,False
5,56,M,Solteiro,Fundamental,RJ,1566.12,0.184,529,Standard,Parceiro,2020-02-26,False
6,70,M,Casado,Pós-graduação,SP,11845.77,0.392,750,Premium,App,2019-08-22,False
7,25,F,Solteiro,Superior,PE,4619.85,0.153,378,Standard,Indicação,2018-11-23,False
8,35,M,Solteiro,Superior,RS,6158.16,0.328,535,Standard,App,2022-10-10,False
9,33,F,Viúvo,Fundamental,RJ,3991.44,0.314,790,Standard,App,2019-11-05,False
10,27,F,Casado,Médio,PR,2569.45,0.261,426,Standard,App,2019-12-08,False
11,54,M,Divorciado,Médio,CE,5049.5,0.156,497,Standard,Indicação,2019-09-18,False
12,18,F,Solteiro,Pós-graduação,SP,12565.77,0.236,694,Premium,Parceiro,2020-06-13,False
13,40,F,Solteiro,Superior,RJ,2640.92,0.391,613,Standard,App,2025-09-03,False
14,24,F,Divorciado,Superior,RJ,3169.84,0.459,492,Standard,App,2021-04-06,False
15,53,M,Divorciado,Médio,SP,1845.63,0.514,575,Standard,Web,2020-03-31,False
16,60,M,Casado,Médio,SP,1826.14,0.343,649,Standard,App,2019-09-20,False
17,44,F,Casado,Médio,SC,2676.41,0.31,848,Standard,Indicação,2018-03-29,False
18,43,F,Solteiro,Fundamental,SP,2447.6,0.334,553,Standard,Parceiro,2020-09-18,False
19,43,F,Casado,Superior,PE,10301.89,0.511,659,Plus,Indicação,2019-03-30,False
20,29,M,Solteiro,Superior,Outros,6416.26,0.342,832,Plus,App,2018-05-05,False
21,39,F,Solteiro,Superior,SP,4401.34,0.29,518,Standard,Indicação,2019-03-10,False
22,71,M,Casado,Médio,RJ,988.56,0.247,368,Standard,Web,2020-07-04,False
23,20,M,Solteiro,Pós-graduação,SP,9841.29,0.261,695,Premium,App,2023-04-10,False
24,62,M,Solteiro,Superior,PR,5571.33,0.326,759,Plus,Indicação,2018-11-05,False
25,27,M,Solteiro,Superior,MG,6026.78,0.19,664,Plus,App,2022-05-12,False
26,24,M,Solteiro,Médio,RS,8026.43,0.205,624,Plus,PDV,2021-11-13,False
27,34,M,Divorciado,Médio,SC,5206.55,0.272,401,Standard,App,2024-12-04,False
28,33,F,Viúvo,Fundamental,SC,2665.3,0.226,565,Standard,App,2019-10-29,False
29,36,F,Solteiro,Médio,MG,1730.8,0.352,735,Standard,App,2023-10-27,False
30,66,M,Solteiro,Superior,CE,4255.66,0.361,420,Standard,Web,2024-09-16,False
31,69,F,Divorciado,Superior,Outros,5245.27,0.312,570,Standard,Indicação,2026-02-12,False
32,57,M,Solteiro,Pós-graduação,RS,6446.83,0.339,565,Standard,App,2023-12-31,False
33,26,M,Casado,Médio,SP,3596.11,0.294,487,Standard,App,2019-05-09,False
34,71,F,Solteiro,Médio,SC,3347.03,0.05,616,Standard,Parceiro,2025-09-30,False
35,66,M,Casado,Médio,GO,1624.93,0.175,623,Standard,App,2024-01-30,False
36,22,M,Solteiro,Médio,MG,5093.82,0.365,663,Plus,Indicação,2020-01-11,False
37,40,F,Casado,Fundamental,PR,1894.48,0.179,428,Standard,Indicação,2019-09-05,False
38,62,M,Casado,Médio,RJ,1179.49,0.383,325,Standard,Parceiro,2025-08-12,False
39,23,M,Solteiro,Médio,MG,2729.03,0.389,611,Standard,Indicação,2019-08-09,False
40,22,F,Casado,Superior,SC,6330.32,0.248,547,Standard,Parceiro,2023-08-08,False
41,52,F,Casado,Médio,CE,4554.04,0.209,854,Plus,App,2020-11-23,False
42,37,M,Viúvo,Superior,SP,4646.02,0.281,861,Plus,App,2022-12-06,False
43,43,F,Casado,Superior,SP,8320.46,0.275,920,Premium,App,2019-02-06,False
44,60,M,Solteiro,Médio,RJ,3074.65,0.355,447,Standard,App,2022-12-12,False
45,49,M,Casado,Superior,RJ,2849.72,0.05,656,Standard,Indicação,2021-05-18,False
46,58,M,Solteiro,Superior,SC,2710.59,0.192,696,Standard,Indicação,2025-02-26,False
47,25,M,Divorciado,Médio,SP,4908.16,0.159,707,Plus,Web,2019-11-11,False
48,18,F,Divorciado,Médio,SC,5091.7,0.05,553,Standard,Web,2019-03-28,False
49,32,F,Solteiro,Superior,MG,6463.71,0.221,798,Plus,App,2019-12-03,False
50,29,M,Casado,Fundamental,PR,3802.43,0.1,587,Standard,Indicação,2018-12-29,False
51,36,M,Casado,Médio,MG,4748.95,0.234,617,Plus,Indicação,2026-03-01,False
52,62,M,Solteiro,Fundamental,SC,2533.5,0.221,357,Standard,Web,2019-05-06,False
53,26,F,Casado,Superior,RJ,3487.18,0.334,674,Standard,App,2019-12-17,False
54,25,M,Casado,Superior,SP,13071.87,0.25,662,Plus,Indicação,2024-01-06,False
55,29,F,Casado,Superior,RS,7191.49,0.077,693,Plus,App,2020-03-08,False
56,36,M,Casado,Superior,RJ,4535.02,0.322,629,Plus,App,2020-01-27,False
57,29,M,Casado,Médio,SP,2004.68,0.57,591,Standard,Indicação,2022-04-13,False
58,28,F,Casado,Médio,GO,3183.6,0.409,573,Standard,App,2020-11-13,False
59,51,F,Casado,Fundamental,BA,800.0,0.362,661,Standard,App,2024-05-03,False
60,24,M,Casado,Fundamental,SP,2553.9,0.257,544,Standard,Parceiro,2021-12-12,False
61,26,M,Casado,Superior,BA,3414.27,0.221,379,Standard,App,2020-05-15,False
62,65,F,Casado,Médio,SP,3370.04,0.213,662,Standard,App,2021-10-07,False
63,19,F,Solteiro,Médio,RJ,2157.2,0.309,454,Standard,Indicação,2024-09-23,False
64,21,F,Casado,Superior,SP,4818.87,0.144,414,Standard,Indicação,2020-09-17,False
65,21,F,Casado,Superior,SP,3767.05,0.306,444,Standard,Indicação,2023-02-02,False
66,48,F,Solteiro,Médio,RJ,2583.14,0.2,612,Standard,PDV,2020-12-11,False
67,57,M,Solteiro,Médio,MG,7201.64,0.074,615,Plus,App,2021-07-08,False
68,57,M,Casado,Médio,SP,5596.54,0.199,310,Standard,App,2023-01-20,False
69,57,M,Solteiro,Fundamental,SP,2149.05,0.43,514,Standard,App,2018-10-06,False
70,21,F,Solteiro,Médio,SP,2764.81,0.297,738,Standard,App,2021-02-13,False
71,37,M,Solteiro,Médio,SP,4270.45,0.05,530,Standard,App,2019-02-16,False
72,54,M,Casado,Médio,RS,4926.38,0.199,578,Standard,Web,2022-12-11,False
73,56,F,Viúvo,Superior,SP,3632.2,0.388,731,Standard,App,2021-10-23,False
74,37,M,Divorciado,Médio,MG,2693.66,0.244,685,Standard,App,2020-07-18,False
75,66,F,Viúvo,Fundamental,RJ,800.0,0.343,694,Standard,Parceiro,2018-12-18,False
76,65,M,Viúvo,Médio,SP,4909.49,0.233,212,Standard,Parceiro,2025-06-24,False
77,61,F,Solteiro,Médio,BA,7862.71,0.302,879,Plus,Indicação,2020-06-28,False
78,63,F,Solteiro,Superior,PR,5724.7,0.284,699,Plus,App,2020-04-24,False
79,73,M,Solteiro,Médio,PR,967.65,0.202,898,Standard,App,2019-03-04,False
80,63,M,Solteiro,Superior,RJ,7457.3,0.349,522,Standard,Indicação,2021-09-03,False
