id_contrato,id_cliente,tipo_produto,valor_contratado,prazo_meses,taxa_juros_am,score_decisao,data_contratacao,status_contrato,dias_atraso,flag_renegociado
1,3169,CC,12482.56,14,0.036,509,2024-10-10,ATIVO,0,False
2,3592,FV,22933.73,67,0.0231,621,2021-07-28,ATRASO_31_90,45,False
3,652,CS,10497.71,71,0.0217,780,2019-05-21,ATRASO_1_30,7,False
4,3149,CD,2004.53,7,0.0354,795,2020-05-21,ATRASO_31_90,42,False
5,1877,CS,11671.18,61,0.0319,603,2022-03-08,QUITADO,0,True
6,2056,EP,2892.88,30,0.0286,457,2018-12-05,ATRASO_1_30,28,False
7,737,FV,40671.18,51,0.0121,726,2025-11-12,ATRASO_1_30,6,False
8,2945,FV,36671.39,58,0.032,402,2024-09-01,QUITADO,0,False
9,1618,EP,6832.75,22,0.0195,568,2019-06-21,ATIVO,0,False
10,3500,CS,12527.42,68,0.0341,480,2025-03-27,ATRASO_1_30,20,False
11,2380,CC,4563.6,13,0.008,931,2021-07-25,ATRASO_31_90,65,True
12,2032,FV,20558.79,44,0.0267,383,2025-01-15,ATRASO_1_30,5,False
13,2549,EP,11033.99,17,0.0277,701,2022-04-07,ATRASO_1_30,5,False
14,2820,EP,5550.31,25,0.0265,347,2020-08-31,ATRASO_1_30,4,False
15,3387,CC,8793.05,13,0.0376,354,2020-01-19,ATRASO_1_30,15,False
16,395,EP,14932.35,19,0.0333,764,2018-08-27,QUITADO,0,True
17,4007,CD,824.9,6,0.0213,778,2024-12-05,ATRASO_1_30,1,False
18,848,CS,25100.48,63,0.0328,636,2022-10-05,ATRASO_1_30,7,False
19,1161,EP,10215.48,29,0.0331,539,2018-11-20,QUITADO,0,False
20,3863,CC,4810.85,12,0.008,762,2025-10-08,ATRASO_1_30,8,True
21,19,CG,44842.57,13,0.008,641,2024-11-22,ATRASO_1_30,3,False
22,1901,FV,28492.78,46,0.0209,787,2022-02-27,ATRASO_1_30,2,False
23,3320,CC,2975.75,11,0.0302,647,2020-05-13,QUITADO,0,False
24,3891,CC,1975.66,11,0.0333,513,2023-12-14,ATRASO_1_30,7,False
